scene_id	sigma	r	ade	fde	abd	fbd
0	0.5	0.01	1.328636805848392	2.0038332716724323	0.24840959296843115	0.228393260078801
0	0.5	0.01	0.584967428353632	1.748530838501746	0.22557221620261694	0.2351659923231514
0	0.5	0.01	0.41178855272188164	0.1491480076277294	0.23469868435749794	0.2335817885176031
1	0.5	0.01	0.9090610468062552	1.6758360039735083	0.2799309909389815	0.26744644933458783
1	0.5	0.01	0.7144591454777226	1.9101745348648826	0.22852028717420325	0.2238338448556217
1	0.5	0.01	0.188165227805961	0.4589346071527809	0.20783432803647106	0.19480855852300602
2	0.5	0.01	1.0469064392102705	1.70721366264539	0.25678214534611105	0.23873493156509618
2	0.5	0.01	1.1055180749484312	2.0141121131553086	0.2377445355128233	0.23002656707203784
2	0.5	0.01	1.0552003842132298	1.6033662810331795	0.21179880882153523	0.19598945979843618
3	0.5	0.01	1.0140063810535473	1.7184610083364498	0.26557911283496205	0.2467039330094989
3	0.5	0.01	1.0483741975249903	2.089430626999695	0.20093087098358545	0.1864619434050659
3	0.5	0.01	1.0953780234647261	1.578372618419916	0.23146810936537665	0.2070861178040757
4	0.5	0.01	0.3874344640791209	0.7878337370982287	0.26219186062305483	0.2602712016100228
4	0.5	0.01	1.2040330203385639	1.6849584554039376	0.21197960014766176	0.1923099109696304
4	0.5	0.01	1.2145199749455278	1.2221657520309646	0.29806173287159826	0.2699339496614959
5	0.5	0.01	0.18205441215598092	0.2528625588933324	0.271306205031336	0.26470773745758347
5	0.5	0.01	0.4538571379162626	0.40778491708334164	0.20972517658478113	0.18519140094233605
5	0.5	0.01	0.9540903160508073	1.261373733350905	0.3048391181273778	0.2744492967894027
6	0.5	0.01	0.5893796301993522	0.9782957050141933	0.22737972649069071	0.23513060388007215
6	0.5	0.01	0.5700180699275724	0.7816568089281892	0.24537007868154745	0.22023165747005619
6	0.5	0.01	0.5164317625806882	0.8964252928215184	0.2975406047162498	0.26373439316458996
7	0.5	0.01	0.23677378720544737	0.42710432968321566	0.25123633970629633	0.25022326378314874
7	0.5	0.01	0.5711962939733913	1.0265940559015965	0.23400076349861587	0.21243034466922114
7	0.5	0.01	0.6971231888347403	1.5280872021482268	0.20677860321931693	0.20807601049143218
8	0.5	0.01	0.8296851008323625	1.339471631432989	0.21355800325175256	0.20618516685914332
