scene_id	col	ade	fde
0	-1	-1	-1
0	0	4.509827302138668	4.293855407141489
1	0	4.565918104914597	4.397159514504843
2	0	4.566979292827138	4.31499365659284
3	0	4.2911822198361405	4.214710178229241
4	0	4.451173423119843	4.216204054967848
5	0	4.302139234744081	4.008807113224745
6	0	4.348466902012697	3.9591806262074583
7	0	4.497291398161153	4.171563607165352
8	0	5.127620291135493	5.213471331941596
9	0	4.467432161458695	4.16556025904838
10	0	4.655180634438673	4.51350751508964
11	0	4.623325138829795	4.374831301866672
12	0	3.8260691354210135	3.615672440755138
13	0	4.546889195770583	4.339708297766395
14	0	4.206984571292206	3.9886761955710854
15	0	4.519146838514455	4.38969286568479
16	0	5.196359666987163	5.1432266188214895
17	0	4.107127074521937	3.826263886769036
18	0	4.624525974259285	4.214540457837781
19	0	4.313824736264281	4.126791191447604
20	0	3.8421942301873155	3.6601155627385
21	0	3.7467158991118015	3.873653223954085
22	0	4.6525454345678385	4.3334470803180976
23	0	4.667319181097991	4.507003089191369
24	1	4.337018233987779	4.092112060854885
25	0	3.6739745280575695	3.9531376692192897
26	0	4.788014890770807	4.618428603162979
27	0	2.7135454461100923	2.624506885566063
28	0	4.869203272430696	4.795534920580358
29	0	4.596134169990344	4.183187826223739
30	0	4.644446336028668	4.4454165921170095
31	0	4.595853296415641	4.451000465858172
32	-1	-1	-1
33	0	4.746060331879665	4.6565284080905345
34	-1	-1	-1
35	0	4.583198164181541	4.275624185469198
36	1	4.548042391458974	4.245444898330895
37	0	4.844594415572579	4.714928842545895
38	0	4.97553065287187	4.871162703684468
39	0	3.916204649603484	3.7568003808861974
40	0	4.458944066720957	4.626582904645251
41	0	4.30738694178117	4.0092332843823195
42	0	4.469741729324568	4.147337314422672
43	0	3.8543327502374374	3.3492009385313715
44	0	3.9207060557039366	3.6763491083520123
45	0	4.301735931706096	4.08249802186827
46	0	4.365743639712988	4.0658389113882905
47	0	4.390214064075466	4.1658072136876205
48	0	3.9558852028490694	3.7540532107189906
49	0	3.345618913920548	3.220298522697527
50	0	4.608390827067413	4.405000785825061
51	0	3.1805807551945215	2.7356243027700757
52	0	3.2392422833223278	2.7040558440840283
53	0	4.712187035898741	4.558699836374391
54	0	4.616043449191088	4.422220266825251
55	0	3.456700004257082	3.227684918182297
56	0	3.8957445877576213	4.3569598689227815
57	0	3.8722028310556933	3.305790923905564
58	0	4.4873297679860995	4.482930645185852
59	0	4.287640278759621	3.613949899231408
60	0	4.838030024433574	4.744203951475187
61	0	4.192255659364051	3.856175019182214
62	0	3.8455336462684695	3.4483892390322755
63	0	3.3592961756903192	2.898553426323685
64	0	4.236114774638739	3.9947291187738
65	0	2.723833905613685	2.283846750541217
66	0	4.760001071715125	4.677039521070654
67	0	3.3172647059090625	3.2490738574356244
68	0	4.2268374897422865	3.9353042523167394
69	0	6.25388868655934	6.2638142862529484
70	0	3.8293075903991474	3.5912580941318026
71	0	4.479135875860136	4.42414398960781
72	0	4.469643404031239	4.333282871893359
73	1	4.670404688800439	4.426692143845272
74	0	4.998486315074545	4.836827638991797
75	0	4.610129059282593	4.472617040781383
76	0	3.9004757102007424	3.615563078562534
77	0	4.600835397373479	4.317934203646588
78	0	4.445237374004988	4.052743824876991
79	0	4.779547541366117	4.569381638404668
80	0	4.218599129666672	4.6634360564375585
81	0	4.1804461848969545	3.6989972466195034
82	0	4.632206197937367	4.277220671018132
83	0	2.819820217168288	2.644196695116765
84	0	2.3046059338029754	2.0871322815938487
85	0	3.861504454971145	4.023287968731231
86	0	4.011926030186479	3.7693501878181244
87	0	3.9108893325120277	3.404337408113918
88	0	3.7445694409476977	3.2273067444928945
89	0	3.99889925810962	3.7785399206926256
90	0	3.7586898655514593	2.849123446730112
91	0	2.788634710075358	2.4835796545105353
92	0	2.5774686011091807	2.445979329826074
93	0	2.227878196898052	2.0032010638791387
94	0	2.7104162833896277	2.337503903567804
95	0	4.5939708166557045	4.288458579538797
96	0	4.085517945741554	4.026242865427889
97	0	3.787617298444862	3.490634871299436
98	0	4.043495321878397	3.6999878441253222
99	0	4.324344241170774	4.057557059889229
100	0	2.344254974368022	1.9550667495459872
101	0	3.525877190660898	3.0538675016517667
102	0	4.050468409117873	3.5245762961378433
103	0	4.362294907048206	4.272189764386701
104	0	3.8501408944307727	3.545494314961283
105	0	4.607724902584075	4.32517172925344
106	0	4.598659163536357	4.364857848155485
107	0	5.269454686223003	5.248808630945924
108	0	3.53001821943182	2.8713640522522343
109	0	4.404773345801003	4.174653444406998
110	0	4.372951923533042	4.268634812379613
111	0	4.438785682478749	4.118618914699455
112	0	3.992515087570238	3.6524593743474387
113	0	4.544157633273069	4.259702607555226
114	0	4.1401314161291465	3.595166247166685
115	0	4.211796444587744	3.257432624980223
116	0	4.53370550943061	4.423231803658272
117	0	4.3874996677630005	4.2557234606638685
118	1	4.841893142475765	4.817272615396867
119	0	3.49126533199882	3.1085991777487987
120	0	3.463709730287023	2.7056588619520854
121	0	4.811159605070148	4.761353678955439
122	0	2.91852699670866	2.730246236358162
123	0	5.10153018592393	5.02661095791899
124	0	4.725836417875166	4.494329187965208
125	0	5.1006983522169405	5.187559915521049
126	0	4.7303379764644164	4.150222683864472
127	0	4.075166737292845	3.715250069997953
128	1	3.9843681306336296	3.324035573634959
129	0	4.794653014891541	4.5374861305000636
130	1	4.60506035069209	4.244328050593787
131	0	3.4871600199551143	3.5246650611601713
132	0	3.763342294167398	3.094738058673832
133	0	4.6947910077536426	4.548725688025957
134	0	4.839982980511929	4.712086957776206
135	0	4.24345649660136	3.8648798697633264
136	0	2.83478859491362	2.1642218606650827
137	0	4.2143721844485125	3.8404471667812086
138	1	3.7540040993883	3.295889268247157
139	0	4.758544211534673	5.297774993725178
140	0	4.559880370807028	4.746272247199995
141	0	3.7357114206301887	3.2370481566653226
142	0	4.6000631396234075	4.3028251510946784
143	0	5.2785913481036415	5.43715053877499
144	0	4.261272744516843	4.012165987354924
145	0	4.545537014046662	4.421692319564491
146	0	3.850747476733474	3.213404654929189
147	0	5.056836778373644	4.884233409794266
148	0	4.804687009819813	4.745710052120349
149	0	4.311900130792716	3.7225107590169597
150	-1	-1	-1
151	0	4.363138980892648	4.146826860329005
152	0	4.02612326601494	3.7723507477402136
153	0	3.9034812609600005	3.667932109473216
154	0	4.375412072810941	4.55490578605237
155	0	4.336314509359986	4.156557420805519
156	0	4.634349145514937	4.393332817756295
157	0	4.779518155614872	4.283415583574021
158	0	3.082867603428818	2.64817543320779
159	0	3.6249151743917003	3.278216630052609
160	0	2.6104318386487733	2.223170695368254
161	0	4.489348507777924	4.305388570061175
162	0	3.72346914231971	3.3971789767527913
163	0	3.7189881366545388	3.4331607848399393
164	0	2.7038417929985985	2.403942654725795
165	1	3.8738287282489097	3.4665891553869557
166	-1	-1	-1
167	0	4.5990824612606875	4.402031891933911
168	0	3.368898942642849	3.8323168864134343
169	0	3.746594629812473	3.8355014584015343
170	0	4.174262744847945	4.318013132030057
171	0	4.3709189120763865	4.466255575970421
172	0	4.614756464805996	4.517668604651062
173	0	3.4296538628678053	3.3045227089926907
174	0	4.1647284311975135	3.7664016750876597
175	0	4.286806459063464	4.057510862982018
176	0	2.9721768701993736	2.854404931386883
177	0	4.723175069435296	4.563296411386952
178	0	4.5799570701717895	4.135169274725153
179	1	4.389900778991881	4.098168255722101
180	1	4.684158682312653	4.467989958673195
