scene_id	sigma	r	ade	fde	abd	fbd
0	0.23	0.05	0.995720383872322	1.3895194701503992	3.1915828893058156	3.040822630644321
0	0.23	0.05	2.0937192024407087	3.8365720223045416	2.444235772605898	2.5035337909052022
0	0.23	0.05	0.40860383099282	0.1290277120878734	2.708198501533669	2.7355770655736618
1	0.23	0.05	0.7974272152060982	0.9840680323898005	3.001833751142309	2.8213638676031625
1	0.23	0.05	1.29243756607249	2.6310908584422292	3.043521373766846	2.9777145731507337
1	0.23	0.05	0.37907420580404594	0.9039373024295422	2.9550979041184937	2.915124772854902
2	0.23	0.05	0.8744218880794595	0.9651587763191931	3.4218889125218106	3.2223853986111903
2	0.23	0.05	1.2692789584921984	2.4383634861299583	2.6996173433710258	2.6090619174736047
2	0.23	0.05	0.9104564234476067	1.6127971383063873	2.3534700182479975	2.1610222564579207
3	0.23	0.05	0.8632275537152786	0.9108697985357096	3.385159157336465	3.2082191165635585
3	0.23	0.05	1.037284315856587	1.9093808605637246	2.679039803078486	2.5453631031343447
3	0.23	0.05	0.2088811299600993	0.3987492056525351	2.3289499376540226	2.0012855063984474
4	0.23	0.05	0.5440547250640095	0.6242620689616617	2.8834579201587425	2.8333979152347615
4	0.23	0.05	1.4149204159524273	1.805300962374865	2.741345238056426	2.5997495250943716
4	0.23	0.05	0.39792509007091453	0.5039396530631405	3.0748310132215098	2.774498746541301
5	0.23	0.05	0.3479546889609384	0.5285596698846542	2.9168455193792036	2.893786437149125
5	0.23	0.05	0.9069434575482935	1.4619448568553088	2.680213633914443	2.417922348709516
5	0.23	0.05	0.7954025701630623	1.3770089976141509	3.2658454862176987	2.925017147387917
6	0.23	0.05	0.3289767044904995	0.45238499941231947	2.8748545434391395	2.9159180636998854
6	0.23	0.05	0.6087979630929943	0.6771267168953632	2.6772997026611116	2.4022694508415263
6	0.23	0.05	0.5049302912409183	1.0949750569677794	3.3378019513323416	2.976849895754267
7	0.23	0.05	0.44712041122634605	0.7329587983121063	2.6972279384019537	2.680647681687395
7	0.23	0.05	2.455257140817116	2.7180773985941107	2.9777504224209363	2.7609562779779453
7	0.23	0.05	0.40503381774620384	0.9970533237069765	2.819946873664505	2.8078337033135057
8	0.23	0.05	0.5430848542260438	0.8814078126852599	2.5380203519909994	2.443517098961392
8	0.23	0.05	2.4572078478567305	4.4735200846271574	4.035585708998366	3.8007156900608554
8	0.23	0.05	0.3902203793318981	0.8320770976802931	2.466842658019614	2.3292563718402803
9	0.23	0.05	0.46466548700785415	0.8604830741690169	2.6870520811800502	2.5667056458988946
9	0.23	0.05	0.48797491570833684	1.1851387898694183	2.3785894190669774	2.2714877628540378
9	0.23	0.05	0.22752024845173277	0.4844888176349358	2.4278050366963644	2.162993454495842
10	0.23	0.05	0.2514972811181338	0.1766174053221043	3.2333415238944676	3.1974124345537565
10	0.23	0.05	1.368244135295581	2.521984208208519	2.3471645680028947	2.1102988711150945
10	0.23	0.05	0.21881409333071142	0.6141249194094999	3.0397559846852684	2.772021801750521
11	0.23	0.05	0.6750233425878934	1.839262549748459	3.329656299364115	3.169728053200398
11	0.23	0.05	0.7556842388677268	0.7656529187428109	2.279959877543417	2.0550723114441785
11	0.23	0.05	0.5667278207333205	1.284362666145744	3.3067819534801157	2.955661759198063
12	0.23	0.05	1.3923336188354212	2.763743455802033	3.993890814822315	3.918493409305728
12	0.23	0.05	1.379828117870362	2.1045087790392714	2.6685849992929858	2.4101482833485774
12	0.23	0.05	0.4402214313983288	1.0842376866880918	3.0340737450747692	2.682571257194979
13	0.23	0.05	1.2106426912994157	2.3207061112847156	3.7764032501843143	3.586833446699053
13	0.23	0.05	1.297874671316529	2.7341799215742912	2.913952905682439	2.7155773209289062
13	0.23	0.05	0.18793951180175208	0.48665172966794473	3.1366804037095126	2.8302202200939433
14	0.23	0.05	1.9901801150044618	3.026376341525651	3.0246992533526247	2.7480722642147053
14	0.23	0.05	1.015094062093667	2.1444485947748273	2.9126894828358703	2.6655556023510916
14	0.23	0.05	1.3706568315122407	1.907113814723143	3.6870080026761864	3.1638621254188792
15	0.23	0.05	2.1409298491836726	3.3032520114414283	2.883469193216783	2.643202449739281
15	0.23	0.05	1.4822341619263744	1.7480201704841634	2.9738905772278126	2.7627142689791477
15	0.23	0.05	1.516558233291752	2.0667974243920804	3.658020876129957	3.1160716750051187
16	0.23	0.05	1.7222636839882988	2.2929442066682455	3.3828349536344655	3.0622023599195116
16	0.23	0.05	1.0106545454949105	1.2492578168767825	2.261144075792565	2.1181002348112505
16	0.23	0.05	1.5506747110572416	2.584061118616021	2.9508127730599027	3.0192274228396183
17	0.23	0.05	1.5419677192357113	2.479541662339949	3.3756365318841977	3.062023019276827
17	0.23	0.05	1.4435825374133593	1.7641000684501693	2.5918165580934938	2.357276410903739
17	0.23	0.05	1.402676318803028	2.8340875827768213	2.8900678170512615	2.9723457253718863
18	0.23	0.05	1.0784807515579071	1.6983099524070353	3.800486592002595	3.5427233425012807
18	0.23	0.05	1.2042738233435435	1.5006017180651965	2.7061074500041853	2.557675238850225
18	0.23	0.05	1.763965820481291	3.553346800704015	2.5072507027450297	2.5628616913370297
19	0.23	0.05	0.813586403877586	1.1042196770848958	4.304421312901523	3.99741290470253
19	0.23	0.05	0.538290835069918	1.056229973469686	2.464237616617629	2.2627743882282365
19	0.23	0.05	2.491155508941359	4.517133667125987	3.267289719276287	3.3476895753719877
20	0.23	0.05	0.7968960250766983	1.072843967336305	3.3538345654544317	3.103487839679129
20	0.23	0.05	0.6371024041107024	0.8684659732140816	2.5008501042251314	2.308171052938816
20	0.23	0.05	3.2640832275388814	5.231695737056043	3.014938145200965	3.0266491399415045
21	0.23	0.05	1.2496934969044087	1.6547136893827006	3.6701701775014124	3.3254411401828627
21	0.23	0.05	0.6679688143140589	1.3416712735238954	2.7082441773142296	2.4500848656234475
21	0.23	0.05	3.272030252075469	5.169928448232033	2.952432475658544	2.9410741775960454
22	0.23	0.05	1.075187933532121	1.5770098584410166	3.927841157054744	3.563950224856865
22	0.23	0.05	1.66499999611714	2.8961835117598445	2.6037104458281397	2.387156558192103
22	0.23	0.05	2.6993924953183566	5.279408904534447	2.5971042772828024	2.579745141052242
23	0.23	0.05	1.7850449247454538	3.0909894233370725	4.271702167400272	3.8087262443255208
23	0.23	0.05	1.252695880237127	2.1265121503231033	3.3202229340647693	3.086844717226963
23	0.23	0.05	0.8523654060912919	0.8415532153983792	2.576778924585896	2.621517978374636
24	0.23	0.05	0.8749212356196049	2.2795041358108734	3.5760546491763554	3.4119835178177937
24	0.23	0.05	1.5977371302087404	1.8587867674987701	2.856159191931465	2.5010597186869905
24	0.23	0.05	0.9230636953961384	0.9705280290169216	2.3339081931453936	2.317384352279093
25	0.23	0.05	1.5379762516027042	3.3517465773017787	3.5372315579490303	3.3960637707080705
25	0.23	0.05	1.5001077374389766	1.792285358748687	2.9058107977619305	2.471533446204883
25	0.23	0.05	1.1791545139740272	1.2001230795692757	2.4348260260569283	2.384630182308065
26	0.23	0.05	2.935141706066751	6.041636492902139	3.4619200327928925	3.1304294532582624
26	0.23	0.05	1.1564210544100115	1.4793448095960906	3.1601555356986255	2.7030710156423936
26	0.23	0.05	1.3450318975087756	1.38462946273436	2.753261867987001	2.776002250594154
27	0.23	0.05	1.8057400772557282	3.988883971143181	3.2669236163929134	2.9343824224637616
27	0.23	0.05	2.3342407151782463	3.5536500674198606	3.3115638609333238	3.0517097310917385
27	0.23	0.05	1.0600623116191739	1.191743261756087	3.373120245289654	3.3804296027326206
28	0.23	0.05	1.8477923805777248	4.117453701066455	2.6574910310358226	2.464782501129805
28	0.23	0.05	2.2870635844698834	3.1812837041045796	3.168059098226007	2.9027976059631997
28	0.23	0.05	1.1739364769294327	1.4151716088059598	2.9420649687923905	2.9383246689568825
29	0.23	0.05	1.9814939294325764	3.8161280198221577	3.088063761106898	2.8566372258442616
29	0.23	0.05	1.6146181413959824	2.3220398718862914	3.3508414723368536	3.312451218174836
29	0.23	0.05	1.5351868250151786	2.1102977833602194	3.08146376880728	3.015716574577152
30	0.23	0.05	1.0644590936006222	1.7419816134151371	2.8447548129415736	2.6327234471097576
30	0.23	0.05	1.1403350978523883	2.1498406031874073	2.378564134098754	2.2133655709772837
30	0.23	0.05	1.315709903166285	1.5648572399282688	2.553510440175137	2.6137454840900505
31	0.23	0.05	1.2083265739715563	2.117970935392343	2.9285006185711415	2.8215142441402565
31	0.23	0.05	0.30463583927092003	0.6181840251203213	2.4253672183207455	2.3157232840833246
31	0.23	0.05	1.1266441640007645	1.3088988498770466	2.5327663851157607	2.531092020451706
32	0.23	0.05	1.9071454708267508	3.869719276726369	2.396479262750072	2.1308288440325875
32	0.23	0.05	0.7010785049302529	1.055313495368312	2.508973677288592	2.3133204176601896
32	0.23	0.05	1.2650903375220768	1.3367310561046453	2.5481591121796456	2.543322096824878
33	0.23	0.05	0.981707918625676	1.1451549983453304	4.072905604511952	3.918127859007304
33	0.23	0.05	0.2593087400953658	0.1597518275965764	2.358420900605388	2.3372394256934856
33	0.23	0.05	0.8984795969641849	0.5634260528839268	2.479798388870679	2.456748041525922
34	0.23	0.05	0.7310237114545403	0.6414144844514726	3.56412322933153	3.3829107036558286
34	0.23	0.05	0.4357091085305243	0.5477475318475887	2.670433974685637	2.6432677819361086
34	0.23	0.05	0.6613780412280316	0.3567739248980863	2.84906341876305	2.84338088872115
35	0.23	0.05	0.7766425716369625	1.0865154015956167	3.0100523291896413	2.8370868539385343
35	0.23	0.05	0.5141083980967015	0.5501947519405994	2.783708851226536	2.746931732081523
35	0.23	0.05	0.6985551608754147	0.4291888524096996	2.832148090636158	2.826842285831397
36	0.23	0.05	0.29077781097774164	0.5067322945597758	3.307113150350658	3.0703125686240886
36	0.23	0.05	0.7184767888237077	1.1569846675584508	2.9552698055055058	2.927254888754528
36	0.23	0.05	0.802230820084311	0.7857353570497833	2.7385396580005628	2.6520066187236058
37	0.23	0.05	0.25468016684770595	0.19350265676879447	2.6123128228335477	2.563469124852248
37	0.23	0.05	0.9647818683111598	1.448944222693601	2.167021022319622	1.9485324957773433
37	0.23	0.05	1.5025688013781477	2.4334619410630487	2.436544283800131	2.293351135387265
38	0.23	0.05	0.26880645852254464	0.14210509381550077	2.761408557118168	2.7052382966039104
38	0.23	0.05	0.9050654788473906	1.3679620085854725	2.2502976326537856	2.115840545806628
38	0.23	0.05	1.9263840291607697	2.8985641779711395	2.834568657590587	2.8085939926837544
39	0.23	0.05	0.23124322718496193	0.3019355571030626	2.6850298676347744	2.6286232719753775
39	0.23	0.05	0.443337520689119	0.5221897872168612	2.9845693542544662	2.8488045537326707
39	0.23	0.05	1.6466456860332181	2.317529671717685	2.6043104659014213	2.5523515828679697
40	0.23	0.05	0.2782211918631113	0.540433581511185	2.555963652933523	2.472074226299207
40	0.23	0.05	0.5399263326996074	0.5267520351455605	2.466223620356388	2.4417324699055354
40	0.23	0.05	1.491299465740297	1.9123561953595787	2.4277379102156744	2.3658261952279873
41	0.23	0.05	0.3906322240446654	0.8417823009376214	2.7598361973855057	2.7017286186757152
41	0.23	0.05	0.7265494754970838	0.830363909439616	2.754502903702385	2.7772102315508005
41	0.23	0.05	1.5521412049156085	1.8652997779862601	2.749454934644729	2.6443572340657724
42	0.23	0.05	0.2239017872286793	0.43536649502551966	2.4420993345608273	2.3449552165659995
42	0.23	0.05	0.23372699793865603	0.39500423445527205	2.5607159738626115	2.470174698646184
42	0.23	0.05	1.0319458906900085	1.0365858204939997	2.7301857781795347	2.538821504200152
43	0.23	0.05	0.24908883047908983	0.3422134543613613	2.369417478358086	2.297699437928899
43	0.23	0.05	0.5187059363016068	0.2983712939112059	3.104357447223708	3.074345761976808
43	0.23	0.05	0.21738135803524072	0.2950316056757596	2.988271698538918	2.7490779514626524
44	0.23	0.05	0.24984668473421187	0.4928145270909104	2.395991670309335	2.3333614726413785
44	0.23	0.05	0.2700938269488438	0.2890014762282094	2.449990617238864	2.3364348048231958
44	0.23	0.05	0.8786038194185575	1.0977338003489174	3.268357940758108	2.9708615154808866
45	0.23	0.05	0.1797426248548517	0.08926699346373666	2.542884028102242	2.480817153980959
45	0.23	0.05	1.0068804951069084	1.5047441029759299	2.7440188172177846	2.534496782006087
45	0.23	0.05	1.2737668559277378	1.823205666195223	3.5188420367253785	3.1997486238049326
46	0.23	0.05	0.41665726248145635	0.3453445568433039	2.520270435134144	2.4177776784659324
46	0.23	0.05	0.4455866462119142	0.712450320419432	2.384312307107786	2.3298774303613863
46	0.23	0.05	1.1970482415075148	1.2591334325239438	2.0430559728498787	1.8700275406696572
47	0.23	0.05	0.2421385241063411	0.5287304763191384	2.475649895770991	2.378300788165689
47	0.23	0.05	0.2606274692386002	0.3882198417684867	2.6010202717326307	2.5469709686672157
47	0.23	0.05	1.1445638055570186	0.9534689156705646	2.213480540355043	2.1699759139100547
48	0.23	0.05	0.278141165615401	0.6492670338099784	2.6449138495378617	2.586744101819639
48	0.23	0.05	0.4711192519328307	0.5551502414859113	2.877573725995538	2.7564281054218833
48	0.23	0.05	0.7753653127230898	0.41812641677948303	2.2330295710076515	2.1877107213047133
49	0.23	0.05	0.27873934178710513	0.5606079037587686	2.319984088875514	2.213458626597656
49	0.23	0.05	0.8843486431349455	1.3736802477106322	2.7468241122005423	2.524885097770005
49	0.23	0.05	0.804203818302459	0.6265125035633935	2.3146608773354997	2.241182245986051
50	0.23	0.05	0.16774950144869447	0.19104602148988256	2.726273292648604	2.625463682303877
50	0.23	0.05	0.45850215009272294	0.26742398599153916	2.4502664229153135	2.3228184882889993
50	0.23	0.05	0.9705991960549456	0.9023406792668291	2.5654118029610333	2.4534034355392804
51	0.23	0.05	0.266913214988379	0.5061359749136959	2.6678219003383883	2.631896463457452
51	0.23	0.05	0.7351497408197128	1.1745661282442454	2.3291697222508687	2.1832875125918636
51	0.23	0.05	1.0102065893544556	1.0635929133531385	2.76446692396919	2.5669252463782364
52	0.23	0.05	0.37277876958567496	0.6889315216255903	2.5701321801759276	2.4840634112395312
52	0.23	0.05	0.3558937166193379	0.48172630307356207	2.8185940662247835	2.7566264391621225
52	0.23	0.05	1.2406585829107326	1.7071942342774524	3.0485297157968185	2.8343762187259514
53	0.23	0.05	0.35066247457646577	0.3651456741614509	2.7193922265165615	2.658225546052315
53	0.23	0.05	0.7870453226783832	0.8200261332140736	2.421146167121931	2.251635198855432
53	0.23	0.05	1.6074240895100436	1.803010316446162	2.231021324631643	2.1881879990972104
54	0.23	0.05	0.8745787421213963	1.7931773153847972	2.736043942263428	2.613118838549964
54	0.23	0.05	0.22980883050492706	0.2084188887885314	2.057868247641005	1.9191555726359708
54	0.23	0.05	1.3023664962222763	1.395025571850598	2.4588584649448486	2.3840605192260007
55	0.23	0.05	0.926165654893799	1.710714043975435	2.830594589462432	2.7369334704022585
55	0.23	0.05	0.638445546762125	0.9739872707278551	2.265686546880388	2.1462997076940797
