scene_id	sigma	r	ade	fde	abd	fbd
0	0.23	0.01	1.0482679180945882	1.444739658021413	0.6889060523257157	0.6322462196368874
0	0.23	0.01	2.297225743366359	4.14872376162354	0.6730180588219111	0.6912003977823273
0	0.23	0.01	0.5198840026166396	0.40174052472789035	0.6174972757749138	0.6190674851758643
1	0.23	0.01	1.036294883272751	1.4202700941526323	0.6982400915261247	0.6452675597723008
1	0.23	0.01	1.2106550725153502	2.620384111296253	0.686502001572179	0.6763554249614596
1	0.23	0.01	0.27798342574776275	0.6580964919230311	0.7186603287066196	0.7117327965796078
2	0.23	0.01	1.0571666297756714	1.3449574415375476	0.6855357752417847	0.6343702400536035
2	0.23	0.01	1.6446717889645166	3.3266710935755612	0.6533048130295743	0.6101687408126549
2	0.23	0.01	0.7969657417420964	1.5237545308439837	0.6957489418300048	0.6629261027732678
3	0.23	0.01	0.9508242583944598	1.1660440994566703	0.7109552588451935	0.6786153563560515
3	0.23	0.01	1.3344696236240605	2.509300612615947	0.7342710499569004	0.6931374299444106
3	0.23	0.01	0.3796182445373362	0.6441838658816583	0.7980272900828056	0.7573251535946458
4	0.23	0.01	0.8366939484259751	1.0934571590452464	0.5634538689905634	0.5502368657928707
4	0.23	0.01	1.6529686393004204	2.5178227537103623	0.7135762808116186	0.6526959879304521
4	0.23	0.01	0.29179154011266123	0.23441747640531638	0.8272958900366691	0.7735380341691815
5	0.23	0.01	0.5466917504262446	0.923695099090378	0.6010617649606415	0.5910377397652233
5	0.23	0.01	0.7355495116699067	1.1861444898780462	0.6893641567936092	0.6399092913631441
5	0.23	0.01	0.48720494091790667	0.9389503996831842	0.8783508573720734	0.8165196224637962
6	0.23	0.01	0.440797634181914	0.6675390479073259	0.6295070437215953	0.6432851289580334
6	0.23	0.01	1.0614465387737197	1.6591436605430918	0.8185755032131575	0.7631646077737496
6	0.23	0.01	0.520191219772653	1.1469034909415132	0.857256590811514	0.7861824874592994
7	0.23	0.01	0.23492983126591013	0.37715910813999415	0.6136916644421837	0.6099805351358789
7	0.23	0.01	2.628029268375374	3.1695244951732966	0.8705893293869781	0.830076554591496
7	0.23	0.01	0.20812664287117266	0.417389994180904	0.5952972329759887	0.5940028481701306
8	0.23	0.01	0.7420069124793581	1.24255517896607	0.7073833865186416	0.6817941389122919
8	0.23	0.01	2.909667046088739	5.267709789148938	1.030027414152042	0.9782275216007413
8	0.23	0.01	0.3430502133757985	0.6291042688084916	0.698259052419282	0.6744066991865733
9	0.23	0.01	0.6405874673417117	0.9510603093271269	0.7653428187929842	0.7275234507884173
9	0.23	0.01	0.432825326316475	1.326977766322571	0.6480478720026766	0.6107094670003681
9	0.23	0.01	0.4874836025083837	0.9870182444480421	0.7305262512545047	0.6940683233799865
10	0.23	0.01	0.26262621998878716	0.13013621544050386	0.9373665255705927	0.9201043469085892
10	0.23	0.01	1.4215811851896947	2.55915136206661	0.6639920329189148	0.6131251248020143
10	0.23	0.01	0.26077620114079453	0.49491074087825826	0.7458586095241193	0.6930399282626123
11	0.23	0.01	0.6535550497506779	1.7494618678034388	0.7609627805144495	0.719092462239208
11	0.23	0.01	1.3801430328322628	2.2341338190605406	0.7113928904334599	0.6591857526352342
11	0.23	0.01	0.7049168217672306	1.253358770914581	0.8045293639277804	0.7351609996702381
12	0.23	0.01	1.4193456523077712	2.8181104867525097	0.9784716040073432	0.9592845774658048
