scene_id	sigma	r	noise_before	noise_after
48	0.15	0.01	0.36242977	0.17951332
48	0.15	0.01	0.3849959	0.22458711
48	0.15	0.01	0.35633078	0.19688614
49	0.15	0.01	0.36278167	0.18609679
49	0.15	0.01	0.42439055	0.41390264
49	0.15	0.01	0.3373845	0.22826749
50	0.15	0.01	0.36067086	0.1914553
50	0.15	0.01	0.41631466	0.29862967
50	0.15	0.01	0.34286216	0.26500827
51	0.15	0.01	0.34357533	0.1706559
51	0.15	0.01	0.39532158	0.27668265
51	0.15	0.01	0.35504445	0.25778815
52	0.15	0.01	0.34068337	0.19586395
52	0.15	0.01	0.3962898	0.34990612
52	0.15	0.01	0.3411995	0.24799007
53	0.15	0.01	0.36227167	0.24561223
53	0.15	0.01	0.3850435	0.2846358
53	0.15	0.01	0.36562064	0.23357944
54	0.15	0.01	0.35970455	0.23361109
54	0.15	0.01	0.4206744	0.32227424
54	0.15	0.01	0.3380789	0.2071741
55	0.15	0.01	0.36879623	0.19594528
55	0.15	0.01	0.40167955	0.22344439
55	0.15	0.01	0.35545036	0.19674313
56	0.15	0.01	0.36560607	0.23872034
56	0.15	0.01	0.39646423	0.21210207
56	0.15	0.01	0.34629032	0.2200331
57	0.15	0.01	0.34516487	0.22601432
57	0.15	0.01	0.3932125	0.2261768
57	0.15	0.01	0.33365306	0.24899691
58	0.15	0.01	0.3629844	0.2262322
58	0.15	0.01	0.41587842	0.30893236
58	0.15	0.01	0.3577682	0.2629978
59	0.15	0.01	0.35974297	0.21766779
59	0.15	0.01	0.39249572	0.4357169
59	0.15	0.01	0.35890874	0.2140182
60	0.15	0.01	0.35171485	0.18448141
60	0.15	0.01	0.40537313	0.32622173
60	0.15	0.01	0.3529747	0.21320914
61	0.15	0.01	0.353767	0.17526366
61	0.15	0.01	0.41219792	0.3710788
61	0.15	0.01	0.3606349	0.19477375
62	0.15	0.01	0.33911312	0.16726373
62	0.15	0.01	0.41465238	0.36875728
62	0.15	0.01	0.35716563	0.2546062
63	0.15	0.01	0.35472524	0.17244941
63	0.15	0.01	0.40165448	0.34493214
63	0.15	0.01	0.34053162	0.22401182
64	0.15	0.01	0.33241978	0.19060965
64	0.15	0.01	0.39867562	0.30506614
64	0.15	0.01	0.36166108	0.20268953
65	0.15	0.01	0.36001855	0.19000497
65	0.15	0.01	0.38101894	0.2517147
65	0.15	0.01	0.3356572	0.21483083
66	0.15	0.01	0.35309747	0.16577032
66	0.15	0.01	0.36779007	0.31000003
66	0.15	0.01	0.34230736	0.22159924
67	0.15	0.01	0.34945124	0.13852552
67	0.15	0.01	0.36976528	0.2894795
67	0.15	0.01	0.3430426	0.21316679
68	0.15	0.01	0.33043572	0.15197586
68	0.15	0.01	0.38614422	0.27388978
68	0.15	0.01	0.35194167	0.2126659
69	0.15	0.01	0.34763545	0.14382167
69	0.15	0.01	0.36793432	0.34592292
69	0.15	0.01	0.36793292	0.21214455
70	0.15	0.01	0.34807265	0.14814691
70	0.15	0.01	0.4151482	0.24161388
