scene_id	sigma	r	ade	fde	abd	fbd
0	0.125	0.05	0.12053570944696183	0.25284020380812133	4.081280138501845	3.506624233160759
0	0.125	0.05	1.1505936247443722	2.5722517753116563	3.757155074832407	3.923990334268629
0	0.125	0.05	0.4704926916150796	0.263646249540906	3.6524545488023867	3.5363132042076733
1	0.125	0.05	0.19028273241320717	0.4226781281792961	4.254466533838689	3.705809425518619
1	0.125	0.05	0.7957892407216512	1.9727955410675584	4.298485038417519	4.197436414227676
1	0.125	0.05	0.36527599960520735	0.8893214751133537	3.889516552635171	3.614054102352362
2	0.125	0.05	0.1114309849917921	0.2823247311830275	3.858355778233262	3.208919428612327
2	0.125	0.05	0.8315852989740332	1.8291287137909782	4.0827833841617	3.9150047863619846
2	0.125	0.05	0.707089544479179	1.3892895524036473	3.790353314965584	3.35908231570283
3	0.125	0.05	0.2838893227445008	0.6752293918386831	4.011076555899714	3.4767793682861434
3	0.125	0.05	1.0190358340354566	1.9117740219357096	3.749177649377756	3.527855780556936
3	0.125	0.05	0.49093789140105076	0.8381897150759081	3.985290532561971	3.392387615908634
4	0.125	0.05	0.2035031707211642	0.4166466660328381	3.442656633754988	3.164352393476996
4	0.125	0.05	1.1593928622972707	1.588391648927693	3.507715217304136	3.129641691048656
4	0.125	0.05	0.11686431832901535	0.1014177250953529	4.1986984249880885	3.524265263156645
5	0.125	0.05	0.19291902261254926	0.4201912234521554	3.8121269065574133	3.6301460056970156
5	0.125	0.05	0.5455916675800588	0.7520230512124213	3.4814702513769507	3.0249381558035906
5	0.125	0.05	0.36874053768421095	0.8397227359513717	4.545984449835566	3.76558434181923
6	0.125	0.05	0.16498204743168837	0.2175675961459668	3.50580293893831	3.6119436889944994
6	0.125	0.05	0.5705344262250254	1.0587336981209	3.6943697462074456	3.2771263238159767
6	0.125	0.05	0.4950779378362573	1.130264523567448	4.6679699210424745	3.920031295734271
7	0.125	0.05	0.15644674127807445	0.4107809141425121	3.523335720101379	3.4759952546085464
7	0.125	0.05	1.183055368614128	1.2803983507688614	3.916303481750921	3.497437372144318
7	0.125	0.05	0.5515433745755445	1.2606941500285826	3.8246769125722113	3.6436195791798465
8	0.125	0.05	0.4174756146304062	0.8886909060567953	3.597346374177163	3.4233209865717806
8	0.125	0.05	1.7112792820781746	3.360318313726776	5.489937583780837	5.0640367683498955
8	0.125	0.05	0.5922285296335056	1.2423860732752463	3.8406931859540268	3.530686989368835
9	0.125	0.05	0.5977034408505101	1.1404968018194943	3.4923629472633424	3.1076114509949964
9	0.125	0.05	0.30564999781338864	0.9363517597491864	4.096112368016502	3.9160992033446256
9	0.125	0.05	0.44454250632674647	0.865644207955223	3.8304547897019154	3.243844299772031
10	0.125	0.05	0.27465470819562016	0.553670285977149	5.140080047544458	4.999381779215465
10	0.125	0.05	0.8744272200950146	1.9409580535697788	3.982480843254826	3.6027396027297813
10	0.125	0.05	0.34829122291277265	0.874094503638736	3.9776401669583	3.284995042383725
11	0.125	0.05	0.7203564321760206	1.7067011320627967	4.5228789793080955	4.1087146924684665
11	0.125	0.05	0.20100636355501778	0.2771935567650979	3.4139823346694316	3.0586501643751696
11	0.125	0.05	0.2997741160659104	0.8909450659606438	4.333750898796612	3.5535936213520163
12	0.125	0.05	1.1767538533566535	2.4907687330686614	5.707332625705539	5.4167597168340365
12	0.125	0.05	1.1766622467040269	1.912690164735381	3.8745916572795576	3.3553535577659113
12	0.125	0.05	0.28460131461727456	0.8702997497712761	4.368993969759324	3.5938048168323937
13	0.125	0.05	1.085149992259884	2.392335498971384	5.902758187161762	5.449713891644788
13	0.125	0.05	1.4098150131384208	2.945113914448037	3.660705782615693	3.16228711947224
13	0.125	0.05	0.15889360692926455	0.5064396601073483	5.1931128665273185	4.560404296546136
14	0.125	0.05	0.5427723591377979	1.2879772106986842	4.014188191894298	3.506161391527803
14	0.125	0.05	0.6229005864062268	1.5818156024010717	4.475055887043912	3.9849087702150143
14	0.125	0.05	0.3263430866085277	0.8928908651638741	5.27293584158565	4.41294245955714
15	0.125	0.05	0.900726456364859	2.0306893870606535	3.7835883185746857	3.5065975071525814
