scene_id	sigma	r	ade	fde	abd	fbd
0	0.05	0.1	0.32163944372393677	0.5780208356780525	11.454930673150889	10.822764232899402
0	0.05	0.1	0.6824153554000176	1.9696607985064607	10.715056576648498	10.885691365729906
0	0.05	0.1	0.27863730778455126	0.07537172190393082	9.545436730627312	9.478834655525175
1	0.05	0.1	0.32322577334174735	0.6900707769925136	10.811605137125648	10.192619937739172
1	0.05	0.1	0.8157341144093326	2.0496016494651803	11.823412822987097	11.720353151513745
1	0.05	0.1	0.5170861591995219	1.2017332112967682	10.66308897172098	10.439213860620624
2	0.05	0.1	0.3162257449686266	0.6576365113170413	11.337945165885337	10.75866454385823
2	0.05	0.1	0.8700478277531071	1.869490976440351	11.225823891202928	11.057271807576637
2	0.05	0.1	0.7757484658713559	1.479627258175279	10.500848572909538	10.092523094482274
3	0.05	0.1	0.4431076906052785	0.9458470577343481	10.793092395169003	10.215987306395991
3	0.05	0.1	0.8542453180818005	1.7235085684113813	10.569092399532368	10.355297129153993
3	0.05	0.1	0.312283782900529	0.6404891323466143	11.676653249179553	10.999942545150295
4	0.05	0.1	0.19598202738497306	0.4948826808323214	11.3147493240324	11.16346823454796
4	0.05	0.1	1.0035601471043936	1.4256443854293597	9.866015672510136	9.462622851730588
4	0.05	0.1	0.13328729516807356	0.2730140678106637	12.676147509684666	11.912247422346487
5	0.05	0.1	0.40459485585547555	0.8274589442290305	11.125007602138652	10.916492275262478
5	0.05	0.1	0.4440336547644595	0.3811828803081492	10.868501432364999	10.320006187111474
5	0.05	0.1	0.5605750223589768	1.2313796685002367	14.70830096170148	13.830263687044107
6	0.05	0.1	0.07104628085828614	0.038130025305823226	9.632060973269184	9.746348460463144
6	0.05	0.1	1.2212430325206651	2.423411547199572	10.053197968952965	9.662486185558208
6	0.05	0.1	0.4695988856716477	1.055779538473049	14.753518607645743	13.905150313794167
7	0.05	0.1	0.3090046917144998	0.761195176560471	9.362352095552415	9.303973618723923
7	0.05	0.1	1.0458105330011216	1.5710731441659438	12.35570387277955	11.92126102854935
7	0.05	0.1	0.6535037080981069	1.4253304429032279	10.634367875897754	10.499131548722698
8	0.05	0.1	0.5631875909525568	1.186471910375254	9.071223591607552	8.846633757218276
8	0.05	0.1	1.3412757956115875	2.478109932181414	13.399566093880614	12.870857155369578
