scene_id 	 sigma 	 col 	 r 
0	0.01	0	0.031147161437578407
0	0.01	0	0.031147161437578407
0	0.01	0	0.030052250451503306
1	0.01	0	0.031147161437578407
1	0.01	0	0.031147161437578407
1	0.01	0	0.025058128230908673
2	0.01	0	0.031147161437578407
2	0.01	0	0.031147161437578407
2	0.01	0	0.02130884018212708
3	0.01	0	0.031147161437578407
3	0.01	0	0.031147161437578407
3	0.01	0	0.031147161437578407
4	0.01	-2	-2
4	0.01	0	0.031147161437578407
4	0.01	0	0.031147161437578407
5	0.01	-2	-2
5	0.01	0	0.031147161437578407
5	0.01	0	0.031147161437578407
6	0.01	0	0.031147161437578407
6	0.01	0	0.031147161437578407
6	0.01	0	0.031147161437578407
7	0.01	0	0.031147161437578407
7	0.01	0	0.031147161437578407
7	0.01	0	0.028769637492946473
8	0.01	0	0.031147161437578407
8	0.01	0	0.031147161437578407
8	0.01	0	0.012729571265399305
9	0.01	0	0.031147161437578407
9	0.01	0	0.031147161437578407
9	0.01	0	0.031147161437578407
10	0.01	0	0.031147161437578407
10	0.01	0	0.031147161437578407
10	0.01	0	0.031147161437578407
11	0.01	0	0.031147161437578407
11	0.01	0	0.031147161437578407
11	0.01	0	0.031147161437578407
12	0.01	0	0.031147161437578407
12	0.01	0	0.031147161437578407
12	0.01	0	0.031147161437578407
13	0.01	0	0.031147161437578407
13	0.01	0	0.031147161437578407
13	0.01	0	0.031147161437578407
14	0.01	0	0.01662448926580535
14	0.01	0	0.031147161437578407
14	0.01	0	0.031147161437578407
15	0.01	0	0.031147161437578407
15	0.01	0	0.031147161437578407
15	0.01	0	0.031147161437578407
16	0.01	0	0.028311344833804597
16	0.01	0	0.031147161437578407
16	0.01	0	0.031147161437578407
17	0.01	0	0.031147161437578407
17	0.01	0	0.031147161437578407
17	0.01	0	0.031147161437578407
18	0.01	0	0.031147161437578407
18	0.01	0	0.031147161437578407
18	0.01	0	0.031147161437578407
19	0.01	0	0.031147161437578407
19	0.01	0	0.031147161437578407
19	0.01	0	0.031147161437578407
20	0.01	0	0.031147161437578407
20	0.01	0	0.031147161437578407
20	0.01	0	0.031147161437578407
21	0.01	0	0.031147161437578407
21	0.01	0	0.031147161437578407
21	0.01	0	0.014015400936647255
22	0.01	0	0.031147161437578407
22	0.01	0	0.031147161437578407
22	0.01	0	0.004643228952738993
23	0.01	0	0.031147161437578407
23	0.01	0	0.031147161437578407
23	0.01	0	0.031147161437578407
24	0.01	0	0.031147161437578407
24	0.01	0	0.031147161437578407
24	0.01	0	0.031147161437578407
25	0.01	0	0.031147161437578407
25	0.01	0	0.031147161437578407
25	0.01	0	0.031147161437578407
26	0.01	0	0.031147161437578407
26	0.01	0	0.031147161437578407
26	0.01	0	0.031147161437578407
27	0.01	0	0.031147161437578407
27	0.01	0	0.031147161437578407
27	0.01	0	0.031147161437578407
28	0.01	0	0.031147161437578407
28	0.01	0	0.031147161437578407
28	0.01	0	0.031147161437578407
29	0.01	0	0.031147161437578407
29	0.01	0	0.031147161437578407
29	0.01	0	0.031147161437578407
30	0.01	0	0.031147161437578407
30	0.01	0	0.031147161437578407
30	0.01	0	0.031147161437578407
31	0.01	0	0.031147161437578407
31	0.01	0	0.031147161437578407
31	0.01	0	0.031147161437578407
32	0.01	0	0.031147161437578407
32	0.01	0	0.031147161437578407
32	0.01	0	0.031147161437578407
33	0.01	0	0.031147161437578407
