scene_id 	 sigma 	 col 	 r 
0	0.04	0	0.11730821652126416
0	0.04	0	0.12458864575031363
0	0.04	0	0.0661571402072012
1	0.04	0	0.09910727877244063
1	0.04	0	0.12458864575031363
1	0.04	0	0.05231789395500121
2	0.04	0	0.12458864575031363
2	0.04	0	0.12458864575031363
2	0.04	0	0.05163398052506775
3	0.04	0	0.11730821652126416
3	0.04	0	0.12458864575031363
3	0.04	0	0.09301459664517057
4	0.04	-2	-2
4	0.04	0	0.12020900180601322
4	0.04	0	0.11507854997178589
5	0.04	-2	-2
5	0.04	0	0.10430322336759087
5	0.04	0	0.10512301507292385
6	0.04	0	0.10796057434145655
6	0.04	0	0.06962455849072129
6	0.04	0	0.12458864575031363
7	0.04	0	0.12020900180601322
7	0.04	0	0.12458864575031363
7	0.04	0	0.05468594180628156
8	0.04	0	0.07148052276862746
8	0.04	0	0.12458864575031363
8	0.04	0	0.039229347318895436
9	0.04	0	0.12020900180601322
9	0.04	0	0.12458864575031363
9	0.04	0	0.08894155471321392
10	0.04	0	0.12458864575031363
10	0.04	0	0.12458864575031363
10	0.04	0	0.10907396474269267
11	0.04	0	0.12458864575031363
11	0.04	0	0.09910727877244063
11	0.04	0	0.12020900180601322
12	0.04	0	0.05829596218000882
12	0.04	0	0.12458864575031363
12	0.04	0	0.10430322336759087
13	0.04	0	0.12458864575031363
13	0.04	0	0.11730821652126416
13	0.04	0	0.12458864575031363
14	0.04	0	0.045519302203090986
14	0.04	0	0.12458864575031363
14	0.04	0	0.12458864575031363
15	0.04	0	0.06667029152507623
15	0.04	0	0.12458864575031363
15	0.04	0	0.12458864575031363
16	0.04	0	0.05872892800058845
16	0.04	0	0.12458864575031363
16	0.04	0	0.12458864575031363
17	0.04	0	0.09757162584609295
17	0.04	0	0.12458864575031363
17	0.04	0	0.12458864575031363
18	0.04	0	0.11730821652126416
18	0.04	0	0.12020900180601322
18	0.04	0	0.12458864575031363
19	0.04	0	0.12458864575031363
19	0.04	0	0.12458864575031363
19	0.04	0	0.11324537933521839
20	0.04	0	0.12458864575031363
20	0.04	0	0.11730821652126416
20	0.04	0	0.09618399435608913
21	0.04	0	0.12458864575031363
21	0.04	0	0.12458864575031363
21	0.04	0	0.049177369344423044
22	0.04	0	0.12458864575031363
22	0.04	0	0.12458864575031363
22	0.04	0	0.017226272672120485
23	0.04	0	0.12458864575031363
23	0.04	0	0.12458864575031363
23	0.04	0	0.12458864575031363
24	0.04	0	0.12458864575031363
24	0.04	0	0.12458864575031363
24	0.04	0	0.10512301507292385
25	0.04	0	0.12458864575031363
25	0.04	0	0.12458864575031363
25	0.04	0	0.0825649267086156
26	0.04	0	0.12458864575031363
26	0.04	0	0.12458864575031363
26	0.04	0	0.07848075245880369
27	0.04	0	0.12458864575031363
27	0.04	0	0.12458864575031363
27	0.04	0	0.07863420044080476
28	0.04	0	0.12458864575031363
28	0.04	0	0.12458864575031363
28	0.04	0	0.09618399435608913
29	0.04	0	0.12458864575031363
29	0.04	0	0.12458864575031363
29	0.04	0	0.08374733421110127
30	0.04	0	0.12458864575031363
30	0.04	0	0.12458864575031363
30	0.04	0	0.12458864575031363
31	0.04	0	0.12458864575031363
31	0.04	0	0.12458864575031363
31	0.04	0	0.09532678423732131
32	0.04	0	0.12458864575031363
32	0.04	0	0.12458864575031363
32	0.04	0	0.09374693366231432
33	0.04	0	0.12458864575031363
