scene_id 	 sigma 	 col 	 r 
0	0.07	0	0.1603810950805133
0	0.07	0	0.2180301300630489
0	0.07	0	0.1138953690787601
1	0.07	0	0.13788057402940185
1	0.07	0	0.2180301300630489
1	0.07	0	0.0842961195534068
2	0.07	0	0.1981794138366322
2	0.07	0	0.2180301300630489
2	0.07	0	0.07910432504615704
3	0.07	0	0.1699149029092464
3	0.07	0	0.2180301300630489
3	0.07	0	0.11712971568956321
4	0.07	-2	-2
4	0.07	0	0.1854984655743762
4	0.07	0	0.1603810950805133
5	0.07	-2	-2
5	0.07	0	0.13734131680290645
5	0.07	0	0.15613612808911873
6	0.07	0	0.16155204937415693
6	0.07	0	0.10501303183755845
6	0.07	0	0.2180301300630489
7	0.07	0	0.18118150206728625
7	0.07	0	0.2180301300630489
7	0.07	0	0.09164287800658397
8	0.07	0	0.1199871125241659
8	0.07	0	0.2180301300630489
8	0.07	0	0.06455899963464834
9	0.07	0	0.15871291013302072
9	0.07	0	0.1981794138366322
9	0.07	0	0.12307287516143721
10	0.07	0	0.2180301300630489
10	0.07	0	0.19302998066469795
10	0.07	0	0.14620324773160479
11	0.07	0	0.2180301300630489
11	0.07	0	0.12471576213931561
11	0.07	0	0.16155204937415693
12	0.07	0	0.08014823463739525
12	0.07	0	0.17645479369881134
12	0.07	0	0.15817834764032643
13	0.07	0	0.2180301300630489
13	0.07	0	0.1483948885605794
13	0.07	0	0.2180301300630489
14	0.07	0	0.08574947475004378
14	0.07	0	0.1981794138366322
14	0.07	0	0.2180301300630489
15	0.07	0	0.08935510863534685
15	0.07	0	0.2180301300630489
15	0.07	0	0.2180301300630489
16	0.07	0	0.09920658000056236
16	0.07	0	0.21036575316052314
16	0.07	0	0.2180301300630489
17	0.07	0	0.1520120257893959
17	0.07	0	0.20138746245062533
17	0.07	0	0.2180301300630489
18	0.07	0	0.1603810950805133
18	0.07	0	0.14042279387648593
18	0.07	0	0.2180301300630489
19	0.07	0	0.17869940005767773
19	0.07	0	0.19543650835259307
19	0.07	0	0.17755058002759416
20	0.07	0	0.19302998066469795
20	0.07	0	0.15516750428751716
20	0.07	0	0.15613612808911873
21	0.07	0	0.2180301300630489
21	0.07	0	0.21036575316052314
21	0.07	0	0.09664904382218521
22	0.07	0	0.2180301300630489
22	0.07	0	0.16405713390905008
22	0.07	0	0.03603225128053232
23	0.07	0	0.2180301300630489
23	0.07	0	0.2180301300630489
23	0.07	0	0.2180301300630489
24	0.07	0	0.2180301300630489
24	0.07	0	0.2180301300630489
24	0.07	0	0.14101568699331535
25	0.07	0	0.2180301300630489
25	0.07	0	0.2180301300630489
25	0.07	0	0.12663096232345528
26	0.07	0	0.2180301300630489
26	0.07	0	0.2180301300630489
26	0.07	0	0.10191070922139182
27	0.07	0	0.2180301300630489
27	0.07	0	0.2180301300630489
27	0.07	0	0.11024637193197281
28	0.07	0	0.2180301300630489
28	0.07	0	0.2180301300630489
28	0.07	0	0.13284139058702896
29	0.07	0	0.2180301300630489
29	0.07	0	0.2180301300630489
29	0.07	0	0.11548007284699859
30	0.07	0	0.2180301300630489
30	0.07	0	0.2180301300630489
30	0.07	0	0.2180301300630489
31	0.07	0	0.2180301300630489
31	0.07	0	0.2180301300630489
31	0.07	0	0.13079487661553893
32	0.07	0	0.2180301300630489
32	0.07	0	0.2180301300630489
32	0.07	0	0.13013843860696434
33	0.07	0	0.2180301300630489
