scene_id	sigma	col	noise_norm	ade	fde
0	0.009	0	0.006024091970175505	0.14245532798345145	0.5390313074259733
1	0.009	0	0.008106670342385769	0.16069487837009674	0.6645356319670647
2	0.009	0	0.007951746694743633	0.18501634193181674	0.6935066918162891
3	0.009	0	0.005997918080538511	0.26081103579567144	0.9951178894282774
3	0.009	0	0.007501411717385054	0.15866207842766203	0.5456429632106364
4	0.009	0	0.007186871953308582	0.642575775854705	1.5894434509822153
4	0.009	0	0.007407027296721935	0.1494474704443489	0.4104767410854316
5	0.009	0	0.004499935545027256	0.25262610127992113	0.94937646008274
5	0.009	0	0.006545935291796923	0.27807740538322623	0.4451712426713562
5	0.009	0	0.006725681480020285	0.2246625639250792	0.898287869117255
6	0.009	0	0.007271783892065287	0.09183100930774692	0.21115378931113832
6	0.009	0	0.009313177317380905	0.8057316257641072	2.767430822213722
6	0.009	0	0.0061172679997980595	0.1788444033513787	0.7851580787010122
7	0.009	0	0.008258887566626072	0.6126114701486893	1.6498627000742379
8	0.009	0	0.007893978618085384	0.23239770573228208	0.9410345450778262
8	0.009	0	0.007212939206510782	0.7719485666014644	2.4659559540253273
9	0.009	0	0.009481246583163738	0.22632158715069156	0.8096156122833483
9	0.009	0	0.0065407524816691875	0.2340155742619029	0.7390596171850086
10	0.009	0	0.0071786269545555115	0.16553439058210934	0.6847505356598563
10	0.009	0	0.006987469736486673	0.447888668544873	1.869038536572535
10	0.009	0	0.00889306329190731	0.16846249297549265	0.7448070010179407
11	0.009	0	0.006355500780045986	0.39103956738000084	1.8632963721133569
11	0.009	0	0.008672534488141537	0.16173802094578654	0.5801661524421761
11	0.009	0	0.009723256342113018	0.2451994874667413	1.1438510262151078
12	0.009	0	0.006846302188932896	0.48508348669690093	1.9756896856870485
12	0.009	0	0.00614436948671937	0.7045185711014655	2.0478211646623414
12	0.009	0	0.009070691652595997	0.1615283033806591	0.8908287321553794
13	0.009	0	0.009276825934648514	0.435228115483323	1.8058691267988272
13	0.009	0	0.011954988352954388	1.0326771763243114	3.5879980798571536
14	0.009	0	0.007522013504058123	0.2613875762176018	1.2721907407916218
14	0.009	0	0.009505125693976879	0.48634907749280615	1.8386012781647898
15	0.009	0	0.006838239263743162	0.25770011800979065	1.3460721435113494
15	0.009	0	0.006825195159763098	0.4902514205129724	1.888557844919712
16	0.009	0	0.008658435195684433	0.6047851490492281	2.4477969346446082
16	0.009	0	0.00875878892838955	0.19178726481659672	0.7464861579309348
17	0.009	0	0.009397897869348526	0.5349619332179523	1.9840656126946994
17	0.009	0	0.0090367142111063	0.5416888563897262	2.08385932212823
17	0.009	0	0.009523478336632252	0.18080349494951134	0.9925237917408462
18	0.009	0	0.01145096030086279	0.2617601454853862	1.066716854159767
18	0.009	0	0.00674481550231576	0.28589835104433564	1.2175871944197074
19	0.009	0	0.009184958413243294	0.1351953828930323	0.5948434916872765
19	0.009	0	0.01044264156371355	0.7340305579371909	3.0661853152506535
20	0.009	0	0.00941705796867609	0.2815420061543972	0.9895227949622574
20	0.009	0	0.007437644526362419	0.39278183880446915	1.4572425825054693
21	0.009	0	0.009227423928678036	0.4501079743244546	1.8642438811835047
21	0.009	0	0.007734327577054501	0.4275175577274394	1.4475990305356552
22	0.009	0	0.006822677794843912	1.070264850605984	3.2894392481552464
23	0.009	0	0.006152499001473188	0.5249509214920243	1.7738629754637245
24	0.009	0	0.006311044562608004	0.29246426369745243	1.6267322605691645
24	0.009	0	0.008236917667090893	0.05707251736627323	0.2426586784374879
26	0.009	0	0.008115846663713455	0.9434669132259482	4.052195328380064
27	0.009	0	0.0044934931211173534	1.00704898195633	4.134372012310749
28	0.009	0	0.009252717718482018	0.11628484960337282	0.3885024531489287
29	0.009	0	0.008308766409754753	0.04285528745458352	0.0863899341764087
30	0.009	0	0.006914974190294743	0.6891587922827583	2.1766173385036383
31	0.009	0	0.007131087593734264	0.2828496686881993	0.826144676319456
31	0.009	0	0.010383698157966137	0.08886909099470347	0.29379779949616747
32	0.009	0	0.00845019705593586	0.2584406226215736	0.7626184346500464
33	0.009	0	0.008568376302719116	0.24933220238533554	0.7722408065144044
34	0.009	0	0.005325250793248415	0.27975281334230606	1.2439432211948198
35	0.009	0	0.006953035015612841	0.23976749939391487	0.7096320996625376
35	0.009	0	0.007493655197322369	0.19490677373096865	0.7637696418565093
36	0.009	0	0.005223243031650782	0.17549030386498346	0.4394251256894272
36	0.009	0	0.009345847181975842	0.12478018930869023	0.4260019499169218
37	0.009	0	0.009624160826206207	0.7430662458558918	2.260449380302979
38	0.009	0	0.011407403275370598	0.4826264683655398	1.311841816706109
39	0.009	0	0.008948997594416142	0.29429918741429667	0.7813732533344351
40	0.009	0	0.0036384074483066797	0.07488593308522373	0.24468033393695127
40	0.009	0	0.007573592476546764	0.20517454254214898	0.4913656070218095
41	0.009	0	0.010166637599468231	0.12456956255098062	0.045211926155283806
42	0.009	0	0.009352185763418674	0.47214168816698837	1.6785426096530047
43	0.009	0	0.008735266514122486	0.29151104011119944	0.8263837291109981
44	0.009	0	0.00857604295015335	0.08381686632178398	0.39041483298752405
44	0.009	0	0.008777398616075516	0.22093718741266027	0.722507691807397
44	0.009	0	0.004911326337605715	0.26659275908154	0.4481441599895436
45	0.009	0	0.006207176949828863	0.34072330139237056	0.8769905741145627
45	0.009	0	0.007098757661879063	0.2200911631534884	1.0302482537553008
49	0.009	0	0.007358384318649769	0.1410008708927337	0.5609753017199316
49	0.009	0	0.008698413148522377	0.5296854069740713	1.9394312734530217
50	0.009	0	0.0063431221060454845	0.17340556062917972	0.544460846356914
50	0.009	0	0.007239848840981722	0.32553129460235347	1.2384325572279542
51	0.009	0	0.004408075008541346	0.297582619124112	1.0510891722419313
52	0.009	0	0.006851417012512684	0.10037094472272481	0.5062871013833665
52	0.009	0	0.008149412460625172	0.2822907723119556	0.9335644398127539
54	0.009	0	0.007710699923336506	0.20719274426642606	0.7903214478288642
54	0.009	0	0.006673377938568592	0.36915041376026964	1.915242849700702
55	0.009	0	0.004405077546834946	0.5159932202773613	2.066814831730114
56	0.009	0	0.005111284088343382	0.405224256152306	1.4788614717855806
57	0.009	0	0.007921808399260044	0.4115659431538059	1.6358014310759985
58	0.009	0	0.010059110820293427	0.3384562393013013	1.125263926563751
60	0.009	0	0.007629526313394308	0.3773194816149383	1.4045258390063369
60	0.009	0	0.008482225239276886	0.5122112638413476	2.2863446792181508
61	0.009	0	0.009400624781847	0.18901200887291955	0.5406952011740249
61	0.009	0	0.004741217475384474	0.44511973917943687	1.9329709462494102
62	0.009	0	0.008426392450928688	0.13653023258831978	0.49258860842706514
62	0.009	0	0.007172771263867617	0.33986579195225664	1.3602048830467242
63	0.009	0	0.011630617082118988	0.23391800345707622	0.8081225527097532
63	0.009	0	0.007030106615275145	0.4509589519945861	1.7300083966742958
64	0.009	0	0.010284743271768093	0.15859132353586597	0.5218831935930663
65	0.009	0	0.005739839747548103	0.06749594102086555	0.47563893173717436
66	0.009	0	0.007805668283253908	0.23916189911865082	1.1549851627845371
67	0.009	0	0.011501606553792953	0.09432042327193563	0.26131965347957714
