scene_id 	 sigma 	 col 	 r 
0	0.1	0	0.2036393085287334
0	0.1	0	0.3114716143757841
0	0.1	0	0.1635207038575062
1	0.1	0	0.17951555653842982
1	0.1	0	0.3114716143757841
1	0.1	0	0.11261289715750454
2	0.1	0	0.25364368575370594
2	0.1	0	0.3114716143757841
2	0.1	0	0.10366873989478864
3	0.1	0	0.21903253508839673
3	0.1	0	0.3114716143757841
3	0.1	0	0.14543390636117398
4	0.1	-2	-2
4	0.1	0	0.2552848572252539
4	0.1	0	0.1965855011020119
5	0.1	-2	-2
5	0.1	0	0.1765893101393574
5	0.1	0	0.1939627558387599
6	0.1	0	0.21777496133293153
6	0.1	0	0.14318306787728316
6	0.1	0	0.3114716143757841
7	0.1	0	0.23165271745720048
7	0.1	0	0.3114716143757841
7	0.1	0	0.1299348864044136
8	0.1	0	0.17406139622680322
8	0.1	0	0.3114716143757841
8	0.1	0	0.09333783680748384
9	0.1	0	0.21364685958456256
9	0.1	0	0.22751129504925036
9	0.1	0	0.15639555107357334
10	0.1	0	0.3114716143757841
10	0.1	0	0.2383169605933033
10	0.1	0	0.19113032285731602
11	0.1	0	0.3114716143757841
11	0.1	0	0.14573990545002205
11	0.1	0	0.2050045407746589
12	0.1	0	0.11330233945992033
12	0.1	0	0.2119926979436848
12	0.1	0	0.21253708187312112
13	0.1	0	0.2757571152352828
13	0.1	0	0.17684877010655697
13	0.1	0	0.3114716143757841
14	0.1	0	0.12753182186385828
